net,length_um
cpu_mem_rdata\[9\],266.355
u_cpu.mem_la_wdata\[7\],266.07
_07380_,265.88
_07245_,265.86
_14392_,265.82
_13432_,265.72
_08037_,265.7
_13285_,265.68
_10123_,265.52
_13357_,265.49
_12723_,265.48
_11691_,265.22
_05304_,265.155
_11798_,265.13
_06892_,265.06
u_cpu.decoded_imm_j\[11\],265.02
_06895_,264.84
u_cpu.reg_pc\[8\],264.41
cpu_mem_rdata\[19\],264.25
_06996_,264.14
u_cpu.reg_pc\[13\],264.14
_13378_,264.015
u_cpu.latched_rd\[4\],263.76
_12033_,263.43
_12756_,263.355
_06202_,262.88
_06189_,262.865
net2435,262.295
_08022_,262.22
_12852_,262.16
_10652_,262
_12862_,261.985
_08280_,261.94
_09910_,261.74
_12719_,261.4
_06891_,261.34
u_cpu.reg_pc\[19\],261.28
_07216_,261.01
_12778_,260.92
_12686_,260.82
_04712_,260.545
_14145_,260.43
_12428_,260.4
_05812_,260.245
_12561_,260.11
u_cpu.pcpi_rs2\[28\],260.04
net4876,260
_07247_,259.92
_13255_,259.8
_14196_,259.62
_05908_,259.11
_06350_,259.09
cpu_mem_rdata\[18\],258.875
_06894_,258.64
_13217_,258.56
_07778_,258.48
_13439_,258.37
_13441_,258.3
_07876_,258.18
_12789_,258.08
_10735_,257.475
_08016_,257.44
_13452_,257.115
u_cpu.pcpi_rs2\[12\],256.66
_06337_,256.62
_12857_,256.62
_12080_,256.61
_12752_,256.58
_12557_,256.51
_04673_,256.42
_10885_,256.38
net3207,255.54
_09390_,255.53
_07125_,255.44
_12367_,255.32
_14345_,255.035
_12461_,254.955
u_cpu.reg_pc\[9\],254.85
_14330_,254.42
_12449_,254.28
_13237_,254.2
_12781_,254.06
_05307_,253.76
_12883_,253.56
_14298_,253.42
_12662_,253.38
_07511_,253.19
_05309_,253.145
_14069_,252.94
_05325_,252.825
_14293_,252.735
_12437_,252.13
_10640_,252.04
_12757_,251.99
_05938_,251.96
_05328_,251.86
_06880_,251.76
_14130_,251.71
_04717_,251.66
_05312_,251.66
_12733_,251.66
u_cpu.decoded_imm\[28\],251.66
_11015_,251.63
_08742_,251.53
_05780_,251.52
u_cpu.pcpi_rs2\[10\],251.5
_07169_,251.315
_00006_,251.31
_13322_,251.22
_13817_,251.14
_12684_,251.13
_14320_,250.895
_04714_,250.74
net4774,250.74
_07086_,250.72
_04744_,250.3
_04749_,250.15
_06877_,249.79
_12412_,249.76
u_cpu.reg_pc\[10\],249.62
_12772_,249.55
_04725_,249.24
_05308_,248.96
_10653_,248.95
u_cpu.reg_pc\[15\],248.945
_11153_,248.91
_07874_,248.75
_09451_,248.48
_09874_,248.44
net2708,248.44
_12323_,248.36
_12371_,248.3
_12285_,248.08
_07242_,247.855
u_cpu.pcpi_rs2\[16\],247.77
_12327_,247.58
clknet_5_23__leaf_clk,247.51
_07230_,247.38
net4868,247.21
_12870_,247.06
_09644_,246.96
_12671_,246.9
u_cpu.pcpi_rs2\[11\],246.84
_08052_,246.57
_14070_,246.525
_05306_,246.48
_05320_,246.45
_10613_,246.4
cpu_mem_rdata\[31\],246.37
net4859,246.34
net2901,246.3
_04719_,245.86
_09786_,245.675
_10676_,245.67
_12389_,245.38
_05300_,245.31
_14305_,245.13
_12774_,245.02
_12574_,244.88
u_cpu.pcpi_rs2\[26\],244.82
net1328,244.74
_10745_,244.7
_09792_,244.68
_04718_,244.64
_07444_,244.58
_05305_,244.4
_12899_,244.15
_12498_,243.99
_09536_,243.8
_14041_,243.8
_11312_,243.615
_07018_,243.54
_12307_,243.53
_12769_,243.47
_12380_,243.4
_08020_,243.375
_12457_,243.11
_13234_,243.06
_07785_,243.04
_05927_,242.74
_12773_,242.6
_05844_,242.57
net4858,242.38
_12815_,242.355
_12847_,242.3
_07106_,242.2
_06109_,242.18
_12688_,242.18
u_cpu.reg_pc\[18\],242.14
_13290_,242.08
_07244_,242.06
_10660_,242
u_cpu.decoded_imm\[18\],241.96
_13279_,241.645
_12683_,241.54
_12458_,241.42
_12687_,240.99
u_cpu.reg_pc\[7\],240.98
_12765_,240.88
net4552,240.84
_07215_,240.715
_12311_,240.7
_12814_,240.66
u_cpu.pcpi_rs2\[27\],240.64
_07221_,240.635
_07490_,240.63
_06054_,240.23
_05311_,240.035
_07231_,239.9
u_cpu.reg_pc\[12\],239.84
_06874_,239.755
_07283_,239.62
_10830_,239.53
_14376_,239.14
_12174_,239.02
_08634_,239
u_cpu.decoded_imm\[26\],238.955
_08603_,238.81
_07206_,238.79
_06017_,238.74
_13265_,238.7
_00033_,238.65
_12762_,238.53
_12760_,238.18
_10587_,238.12
_04770_,238.06
net2382,238.02
_12758_,237.9
_04567_,237.87
_12445_,237.83
u_cpu.reg_pc\[17\],237.8
_12771_,237.775
_06433_,237.68
net4810,237.52
_07241_,237.16
_07744_,236.78
_12383_,236.6
_12497_,236.18
cpu_mem_rdata\[15\],236.13
_12469_,236.06
_13461_,236.04
_09446_,235.95
_12493_,235.915
_12475_,235.86
_13358_,235.77
_12749_,235.69
_06883_,235.16
_11943_,235.15
_10643_,235.06
net1441,235.04
_12893_,234.87
_12770_,234.74
net1000,234.62
_12378_,234.58
_12721_,234.43
_12343_,234.4
u_cpu.cpu_state\[1\],234.34
_14049_,234.2
_14128_,234.11
_07007_,234.1
_05962_,233.84
_13976_,233.74
_13421_,233.635
_08049_,233.62
_14383_,233.585
_12573_,233.56
_12342_,233.23
_13367_,233.21
_05872_,233.16
_06048_,233.06
_14244_,232.92
_14364_,232.84
_06876_,232.64
_08065_,232.515
_04710_,232.5
_12689_,232.12
_06317_,232.05
_12455_,231.92
_07243_,231.88
_12571_,231.8
_13971_,231.76
_07155_,231.64
_12375_,231.6
_13678_,231.5
_06014_,231.365
_06864_,231.36
_05313_,231.295
_06881_,231.15
_00035_,231.075
_12314_,231.06
_12682_,231.04
_09416_,230.955
_00852_,230.945
_04705_,230.91
_13580_,230.84
_10642_,230.82
_05310_,230.66
_12650_,230.615
_10740_,230.57
_13723_,230.56
_06431_,230.4
_12459_,230.4
_12319_,230.35
_09692_,230.32
_12454_,230.32
_10881_,230.3
_13363_,230.3
_06923_,230.22
_13812_,230.205
_04703_,230.2
_12441_,230.14
_12465_,230.08
_12489_,229.975
_07505_,229.81
_12816_,229.59
_08057_,229.53
_10730_,229.495
_07309_,229.18
_04769_,229.13
_04767_,229.05
_10585_,229.035
_05910_,228.98
_12473_,228.8
_12413_,228.4
_10595_,228.28
_12373_,228.01
_09731_,227.95
_13425_,227.7
_09867_,227.52
_12109_,227.315
_12768_,227.24
u_cpu.alu_out_q\[14\],227.12
_12651_,227.06
_05319_,227
_12824_,226.96
net4531,226.88
_12315_,226.74
cpu_mem_rdata\[21\],226.74
_13609_,226.695
net4367,226.655
_13560_,226.525
net4507,226.34
_13215_,226.32
_12277_,226.23
_13592_,226.16
u_cpu.reg_pc\[16\],226.07
_12845_,225.94
_12569_,225.82
_04701_,225.6
_06207_,225.54
_06889_,225.52
_10667_,225.52
_12710_,225.48
_12326_,225.42
u_cpu.decoded_imm\[29\],225.355
cpu_mem_rdata\[10\],225.11
_12495_,225.09
_07407_,225
_06169_,224.61
_14312_,224.35
_07459_,224.165
_14304_,224.1
u_cpu.pcpi_rs2\[20\],223.91
net4594,223.88
_12357_,223.86
_05801_,223.8
_07446_,223.78
net4412,223.76
_12346_,223.74
_11421_,223.63
_12748_,223.41
_05326_,223.37
_09777_,223.24
net4582,223.24
_12387_,223.18
net4766,223.16
_07249_,223.04
_05922_,222.9
_07829_,222.86
_13630_,222.72
_12622_,222.55
_09991_,222.52
_05314_,222.5
_13860_,222.48
_12322_,222.34
_11392_,222.235
_04684_,221.855
_12565_,221.74
_06946_,221.64
_13660_,221.495
net4422,221.28
_06322_,220.7
_13887_,220.615
_05596_,220.455
_07776_,220.37
_12474_,220.33
_05322_,220.25
_04711_,220.22
_12737_,220.18
_13041_,220.06
u_cpu.pcpi_rs1\[18\],220.06
_09311_,220.02
_12635_,219.96
cpu_mem_rdata\[23\],219.935
_10578_,219.7
_12331_,219.6
net4902,219.47
_05324_,219.255
net4832,219.05
_10582_,218.94
_04741_,218.71
_12844_,218.5
_10583_,218.32
_04700_,218.22
_12649_,218.14
_00037_,218.04
_12648_,217.875
_12391_,217.74
_12568_,217.735
_07442_,217.66
u_cpu.pcpi_rs2\[22\],217.56
_04768_,217.51
_12462_,217.3
_04685_,217.21
net4434,217.09
_12634_,217.05
_14239_,216.99
_12874_,216.88
_10612_,216.82
_12530_,216.76
_04471_,216.6
_12753_,216.6
_12679_,216.56
